campo1;campo2;campo3;campo4;campo5;campo6;campo7;campo8;campo9;;;;;;
VPLSpsr2.bgo2xe-1/0/9;VPLSpsr2.bgo2;VPLS;psr2.bgo2;psr2.bgo2;xe-1/0/9;psr2.bgo2;xe-1/0/9;1;;;;;;
VPLSmesb10.morato.telefonica.bogTE7/3;VPLSmesb10.morato.telefonica.bog;VPLS;mesb10.morato.telefonica.bog;MESA1.CXV.BOG;TE7/3;psr2.cxv1.bog;xe-0/0/1;1;;;;;;
VPNmesb10.morato.telefonica.bogTE7/3;VPNmesb10.morato.telefonica.bog;VPN;mesb10.morato.telefonica.bog;MESA1.CXV.BOG;TE7/3;psr2.cxv1.bog;xe-0/0/1;1;;;;;;
VPLSmesc2.lla.vvcTE7/3;VPLSmesc2.lla.vvc;VPLS;mesc2.lla.vvc;MESA1.CXV.BOG;TE7/3;psr2.cxv1.bog;xe-0/0/1;1;;;;;;
VPNmesc2.lla.vvcTE7/3;VPNmesc2.lla.vvc;VPN;mesc2.lla.vvc;MESA1.CXV.BOG;TE7/3;psr2.cxv1.bog;xe-0/0/1;1;;;;;;
VPLSmesd2.triara.bogTE7/3;VPLSmesd2.triara.bog;VPLS;mesd2.triara.bog;MESA1.CXV.BOG;TE7/3;psr2.cxv1.bog;xe-0/0/1;1;;;;;;
VPNmesd2.triara.bogTE7/3;VPNmesd2.triara.bog;VPN;mesd2.triara.bog;MESA1.CXV.BOG;TE7/3;psr2.cxv1.bog;xe-0/0/1;1;;;;;;
ADIMESD1.ANS.YOPTE7/1;ADIMESD1.ANS.YOP;ADI;MESD1.ANS.YOP;mesa1.cxv.bog;TE7/1;PSR2.CXV1.BOG;xe-0/0/1;1;;;;;;
VPLSMESD1.ANS.YOPTE7/1;VPLSMESD1.ANS.YOP;VPLS;MESD1.ANS.YOP;mesa1.cxv.bog;TE7/1;PSR2.CXV1.BOG;xe-0/0/1;1;;;;;;
VPNMESD1.ANS.YOPTE7/1;VPNMESD1.ANS.YOP;VPN;MESD1.ANS.YOP;mesa1.cxv.bog;TE7/1;PSR2.CXV1.BOG;xe-0/0/1;1;;;;;;
VPLSmesd1.ortezal.ath.bogTE7/1;VPLSmesd1.ortezal.ath.bog;VPLS;mesd1.ortezal.ath.bog;MESA1.CXV.BOG;TE7/1;psr2.cxv1.bog;xe-0/0/1;1;;;;;;
VPNmesd1.ortezal.ath.bogTE7/1;VPNmesd1.ortezal.ath.bog;VPN;mesd1.ortezal.ath.bog;MESA1.CXV.BOG;TE7/1;psr2.cxv1.bog;xe-0/0/1;1;;;;;;
SatelitalMESA1.SUB.BOGTE3/2;SatelitalMESA1.SUB.BOG;Satelital;MESA1.SUB.BOG;BOGTCLFX9K001/BOGTCLFX9K002;TE3/2;psr1.sub1.bog;xe-0/2/1;1;;;;;;
ADIMESC2.PNE.BGASUBA;ADIMESC2.PNE.BGA;ADI;MESC2.PNE.BGA; MESA2.CEN.BGA;SUBA;ar2.bgo2;ae-14;1;;;;;;
ADIMESC2.PNE.BGACXV;ADIMESC2.PNE.BGA;ADI;MESC2.PNE.BGA; MESA2.CEN.BGA;CXV;ar2.bgo1;ae-14;1;;;;;;
ADImesc4.cen.bgaCXV;ADImesc4.cen.bga;ADI;mesc4.cen.bga; MESA2.CEN.BGAPort-channel3;CXV;ar2.bgo1;ae-14;1;;;;;;
ADIMESC11.BAQ.BAQSUBA;ADIMESC11.BAQ.BAQ;ADI;MESC11.BAQ.BAQ;MESA1.BAQ.BAQ;SUBA;ar2.bgo2;ae-14;1;psr1.sub1.bog;ae11;200.186.24.217;psr1.brq1;ae3;200.186.24.207
ADImesc13.baq.baqSUBA;ADImesc13.baq.baq;ADI;mesc13.baq.baq;MESA1.BAQ.BAQ;SUBA;ar2.bgo2;ae-14;1;;;;;;
ADImesc2.baq.baqSUBA;ADImesc2.baq.baq;ADI;mesc2.baq.baq;MESA1.BAQ.BAQ;SUBA;ar2.bgo2;ae-14;1;;;;;;
ADImesc21.pbe.mdeSUBA;ADImesc21.pbe.mde;ADI;mesc21.pbe.mde;MESA1.BAQ.BAQ;SUBA;ar2.bgo2;ae-14;1;;;;;;
ADImesc3.baq.baqSUBA;ADImesc3.baq.baq;ADI;mesc3.baq.baq;MESA1.BAQ.BAQ;SUBA;ar2.bgo2;ae-14;1;;;;;;
ADImesc4.baq.baqSUBA;ADImesc4.baq.baq;ADI;mesc4.baq.baq;MESA1.BAQ.BAQ;SUBA;ar2.bgo2;ae-14;1;;;;;;
ADImesc9.baq.baqSUBA;ADImesc9.baq.baq;ADI;mesc9.baq.baq;MESA1.BAQ.BAQ;SUBA;ar2.bgo2;ae-14;1;;;;;;
ADImesc1.baq.baqSUBA;ADImesc1.baq.baq;ADI;mesc1.baq.baq;MESA1.BAQ.BAQ;SUBA;ar2.bgo2;ae-14;1;;;;;;
ADImesc14.baq.baqSUBA;ADImesc14.baq.baq;ADI;mesc14.baq.baq;MESA1.BAQ.BAQ;SUBA;ar2.bgo2;ae-14;1;;;;;;
ADImesc8.baq.baqSUBA;ADImesc8.baq.baq;ADI;mesc8.baq.baq;MESA1.BAQ.BAQ;SUBA;ar2.bgo2;ae-14;1;;;;;;
ADImesc10.baq.baqSUBA;ADImesc10.baq.baq;ADI;mesc10.baq.baq;MESA1.BAQ.BAQ;SUBA;ar2.bgo2;ae-14;1;;;;;;
ADImesa1.baq.baqCXV;ADImesa1.baq.baq;ADI;mesa1.baq.baq;MESA1.BAQ.BAQ;CXV;ar2.bgo1;ae-14;1;psr2.cxv1.bog;ae12;200.186.24.219;psr1.brq1;ae3;200.186.24.207
ADIMESC11.BAQ.BAQCXV;ADIMESC11.BAQ.BAQ;ADI;MESC11.BAQ.BAQ;MESA1.BAQ.BAQ;CXV;ar2.bgo1;ae-14;1;psr2.cxv1.bog;ae12;200.186.24.219;psr1.brq1;ae3;200.186.24.207
VPNmesc15.im21.ccsPort-channel5;VPNmesc15.im21.ccs;VPN;mesc15.im21.ccs;MESA2.IM21.CCS;Port-channel5;PSR2.CCS1;ae-10;4;;;;;;
VPNMESC17.IM21.CCSPort-channel5;VPNMESC17.IM21.CCS;VPN;MESC17.IM21.CCS;MESA2.IM21.CCS;Port-channel5;PSR2.CCS1;ae-10;1;;;;;;
VPNMESC20.IM21.CCSPort-channel5;VPNMESC20.IM21.CCS;VPN;MESC20.IM21.CCS;MESA2.IM21.CCS;Port-channel5;PSR2.CCS1;ae-10;4;;;;;;
VPNmesc23.im21.ccsPort-channel5;VPNmesc23.im21.ccs;VPN;mesc23.im21.ccs;MESA2.IM21.CCS;Port-channel5;PSR2.CCS1;ae-10;4;;;;;;
VPNMESC19.IM21.CCSPort-channel5;VPNMESC19.IM21.CCS;VPN;MESC19.IM21.CCS;MESA2.IM21.CCS;Port-channel5;PSR2.CCS1;ae-10;1;;;;;;
VPNMESB1.IM21.CCSPort-channel5;VPNMESB1.IM21.CCS;VPN;MESB1.IM21.CCS;MESA2.IM21.CCS;Port-channel5;PSR2.CCS1;ae-10;1;;;;;;
VPNMESC18.IM21.CCSPort-channel5;VPNMESC18.IM21.CCS;VPN;MESC18.IM21.CCS;MESA2.IM21.CCS;Port-channel5;PSR2.CCS1;ae-10;1;;;;;;
